logic_gate,input_vector,sensitive_area
BUFFX1,0,0.088
BUFFX1,1,0.077
INVX1,0,0.044
INVX1,1,0.066
NAND2X1,00,0.044
NAND2X1,01,0.102
NAND2X1,10,0.044
NAND2X1,11,0.088
NAND3X1,000,0.044
NAND3X1,001,0.044
NAND3X1,010,0.044
NAND3X1,011,0.044
NAND3X1,100,0.102
NAND3X1,101,0.102
NAND3X1,110,0.160
NAND3X1,111,0.154
NAND4X1,0000,0.044
NAND4X1,0001,0.044
NAND4X1,0010,0.044
NAND4X1,0011,0.044
NAND4X1,0100,0.044
NAND4X1,0101,0.044
NAND4X1,0110,0.044
NAND4X1,0111,0.044
NAND4X1,1000,0.102
NAND4X1,1001,0.102
NAND4X1,1010,0.102
NAND4X1,1011,0.102
NAND4X1,1100,0.160
NAND4X1,1101,0.160
NAND4X1,1110,0.218
NAND4X1,1111,0.176
XOR2X1,00,0.272
XOR2X1,01,0.135
XOR2X1,10,0.149
XOR2X1,11,0.154
NOR2X1,00,0.058
NOR2X1,01,0.066
NOR2X1,10,0.154
NOR2X1,11,0.066
NOR3X1,000,0.102
NOR3X1,001,0.066
NOR3X1,010,0.154
NOR3X1,011,0.066
NOR3X1,100,0.243
NOR3X1,101,0.066
NOR3X1,110,0.154
NOR3X1,111,0.066
NOR4X1,0000,0.116
NOR4X1,0001,0.066
NOR4X1,0010,0.154
NOR4X1,0011,0.066
NOR4X1,0100,0.243
NOR4X1,0101,0.243
NOR4X1,0110,0.154
NOR4X1,0111,0.066
NOR4X1,1000,0.331
NOR4X1,1001,0.066
NOR4X1,1010,0.154
NOR4X1,1011,0.066
NOR4X1,1100,0.243
NOR4X1,1101,0.066
NOR4X1,1110,0.154
NOR4X1,1111,0.066
OAI21X1,000,0.058
OAI21X1,001,0.058
OAI21X1,010,0.160
OAI21X1,011,0.088
OAI21X1,100,0.058
OAI21X1,101,0.176
OAI21X1,110,0.160
OAI21X1,111,0.088
OAI22X1,0000,0.058
OAI22X1,0001,0.203
OAI22X1,0010,0.203
OAI22X1,0011,0.203
OAI22X1,0100,0.058
OAI22X1,0101,0.176
OAI22X1,0110,0.088
OAI22X1,0111,0.088
OAI22X1,1000,0.058
OAI22X1,1001,0.265
OAI22X1,1010,0.176
OAI22X1,1011,0.176
OAI22X1,1100,0.058
OAI22X1,1101,0.176
OAI22X1,1110,0.088
OAI22X1,1111,0.088
AOI21X1,000,0.058
AOI21X1,001,0.243
AOI21X1,010,0.116
AOI21X1,011,0.243
AOI21X1,100,0.058
AOI21X1,101,0.243
AOI21X1,110,0.088
AOI21X1,111,0.058
AOI22X1,0000,0.058
AOI22X1,0001,0.058
AOI22X1,0010,0.116
AOI22X1,0011,0.088
AOI22X1,0100,0.116
AOI22X1,0101,0.116
AOI22X1,0110,0.174
AOI22X1,0111,0.088
AOI22X1,1000,0.058
AOI22X1,1001,0.058
AOI22X1,1010,0.116
AOI22X1,1011,0.088
AOI22X1,1100,0.309
AOI22X1,1101,0.309
AOI22X1,1110,0.309
AOI22X1,1111,0.309
OAI211X1,0000,0.058
OAI211X1,0001,0.058
OAI211X1,0010,0.058
OAI211X1,0011,0.058
OAI211X1,0100,0.160
OAI211X1,0101,0.160
OAI211X1,0110,0.218
OAI211X1,0111,0.154
OAI211X1,1000,0.160
OAI211X1,1001,0.160
OAI211X1,1010,0.218
OAI211X1,1011,0.243
OAI211X1,1100,0.160
OAI211X1,1101,0.160
OAI211X1,1110,0.218
OAI211X1,1111,0.154
AOI211X1,0000,0.102
AOI211X1,0001,0.331
AOI211X1,0010,0.243
AOI211X1,0011,0.243
AOI211X1,0100,0.160
AOI211X1,0101,0.331
AOI211X1,0110,0.243
AOI211X1,0111,0.243
AOI211X1,1000,0.102
AOI211X1,1001,0.331
AOI211X1,1010,0.243
AOI211X1,1011,0.243
AOI211X1,1100,0.088
AOI211X1,1101,0.088
AOI211X1,1110,0.088
AOI211X1,1111,0.088
AOI221X1,00000,0.218
AOI221X1,00001',0.218
AOI221X1,00010',0.160
AOI221X1,00011',0.088
AOI221X1,00100',0.243
AOI221X1,00101',0.243
AOI221X1,00110',0.243
AOI221X1,00111',0.088
AOI221X1,01000',0.160
AOI221X1,01001',0.218
AOI221X1,01010',0.160
AOI221X1,01011',0.088
AOI221X1,01100',0.243
AOI221X1,01101',0.243
AOI221X1,01110',0.243
AOI221X1,01111',0.243
AOI221X1,10000',0.058
AOI221X1,10001',0.160
AOI221X1,10010',0.102
AOI221X1,10011',0.088
AOI221X1,10100',0.243
AOI221X1,10101',0.243
AOI221X1,10110',0.243
AOI221X1,10111',0.088
AOI221X1,11000',0.397
AOI221X1,11001',0.397
AOI221X1,11010',0.397
AOI221X1,11011',0.088
AOI221X1,11100',0.243
AOI221X1,11101',0.243
AOI221X1,11110',0.243
AOI221X1,11111',0.088
OAI221X1,00000,0.058
OAI221X1,00001',0.160
OAI221X1,00010',0.160
OAI221X1,00011',0.160
OAI221X1,00100',0.058
OAI221X1,00101',0.261
OAI221X1,00110',0.261
OAI221X1,00111',0.261
OAI221X1,01000',0.058
OAI221X1,01001',0.160
OAI221X1,01010',0.160
OAI221X1,01011',0.160
OAI221X1,01100',0.058
OAI221X1,01101',0.154
OAI221X1,01110',0.243
OAI221X1,01111',0.243
OAI221X1,10000',0.058
OAI221X1,10001',0.160
OAI221X1,10010',0.160
OAI221X1,10011',0.160
OAI221X1,10100',0.058
OAI221X1,10101',0.243
OAI221X1,10110',0.331
OAI221X1,10111',0.331
OAI221X1,11000',0.058
OAI221X1,11001',0.160
OAI221X1,11010',0.160
OAI221X1,11011',0.160
OAI221X1,11100',0.058
OAI221X1,11101',0.154
OAI221X1,11110',0.154
OAI221X1,11111',0.154